#Table2
type,ra,dec,psfMag_r,psfMagErr_r,extinction_r
6,317.982663689876,0.399307970117984,23.99398,0.4320694,0.2823729
6,317.983200276488,0.395964509279745,25.12591,0.5280054,0.2824944
6,318.049613264069,0.254222000841826,20.13276,0.02315405,0.3042047
6,318.049479186064,0.343105080258047,22.35835,0.123215,0.2942427
6,317.983747293209,0.323761284497227,22.78878,0.1716421,0.2867235
6,317.982849942256,0.26707949165893,23.90966,0.3983482,0.2926389
6,317.983784348256,0.312371262455695,24.11042,0.4519134,0.2876781
6,318.048407643412,0.287646433819211,23.97141,0.4215812,0.3000557
6,317.982884512282,0.365541880411222,23.78047,0.3765857,0.2830133
6,318.11425085201,0.283190207597536,14.58573,0.01273856,0.3154891
6,318.184164132842,0.401505783139535,16.77002,0.01299717,0.3426262
6,318.11556421868,0.293407954110639,19.45697,0.01873693,0.3150681
6,318.115315698966,0.333948744971262,20.31411,0.02596234,0.3134612
6,318.182434749482,0.330913109943705,19.84533,0.02163207,0.3358066
6,318.114608562711,0.364330840436262,20.6793,0.03275841,0.313463
6,318.183464093812,0.262239221790155,21.30481,0.05136831,0.3196269
6,318.183971287509,0.25006201093686,24.01218,0.4701358,0.3180338
6,318.183134601362,0.386494239979769,21.73652,0.07444197,0.3421131
6,318.183379530711,0.288716317545365,22.84573,0.187024,0.3249634
6,318.183597765466,0.389646951377046,22.25508,0.1155913,0.3423752
6,318.184088714775,0.414742237098992,22.70247,0.1706003,0.3424627
6,317.79304412666,0.689910530398361,19.81668,0.0216012,0.2872621
6,317.793847356051,0.667785577060406,19.10231,0.01753374,0.2966332
6,317.794368804051,0.658024770653179,18.14136,0.01574009,0.2998407
6,317.792932331922,0.741331452290943,21.93901,0.0871463,0.2711226
6,317.794523221142,0.722968847385464,21.02288,0.04178784,0.2758714
6,317.794150503863,0.66538004661647,22.57548,0.3862124,0.2976642
6,317.922740781441,0.689240556016584,16.6609,0.01530032,0.2954609
6,317.923307223464,0.668725871095019,22.8433,0.2090985,0.2996176
6,317.922543703911,0.71474018492766,22.75051,0.1732749,0.2915213
6,317.857527560461,0.736692031582345,22.04107,0.3769496,0.2849239
6,317.858224315283,0.734613242495967,23.06746,0.2333541,0.2854072
6,317.923315464054,0.704777669554136,18.88549,0.01725737,0.2927932
6,317.922507018637,0.70687406237981,20.57158,0.03125542,0.2925527
6,317.923336326062,0.707517362126458,22.40598,0.127673,0.2924036
6,317.858094281499,0.656698542725014,25.46571,0.4485289,0.3048892
6,317.857438795692,0.691073955649033,20.26898,0.02594341,0.2962315
6,317.92202030878,0.740750220860282,22.90444,0.2112032,0.2898197
6,317.85892779496,0.699822676891792,23.61425,0.335268,0.294402
6,317.858529726451,0.705106518186309,24.82941,0.5510184,0.2927464
6,317.983402206804,0.712504188447141,17.47686,0.01484728,0.2823006
6,317.982568162851,0.679761594297301,21.23136,0.04896755,0.2847868
6,317.983454426835,0.704726389806087,21.43653,0.05818355,0.2821531
6,317.983621759765,0.657749385147682,21.88128,0.08174026,0.2865307
6,318.048939079665,0.687725301358822,23.27709,0.2721923,0.2798933
6,318.050217808057,0.698367623988124,19.944,0.02245323,0.2799301
6,318.049554248883,0.719579099802743,25.16459,0.5580787,0.2799231
6,318.049947455555,0.664109726949527,23.05461,0.2235136,0.2800633
6,318.183027691268,0.73252536142903,18.52312,0.01443618,0.318594
6,318.115595769445,0.740880698919691,21.91165,0.09042729,0.2934197
6,318.115159660028,0.741315409382202,23.13041,0.2658704,0.293306
6,317.79353928498,0.53624039119619,12.951,0.0004626098,0.3093754
6,317.793497784178,0.45504867427684,18.3463,0.01207445,0.2956651
6,317.79375843595,0.456316884789793,22.09414,0.0956156,0.295767
6,317.794358568812,0.454245807056494,22.51642,0.1399163,0.2955953
6,317.792915814253,0.638115292926626,25.166,0.4552566,0.3043616
6,317.79461895646,0.634966395266933,23.21619,0.247949,0.305501
6,317.79435735264,0.567597718332093,19.79566,0.01771438,0.3129169
6,317.793615603591,0.443730047671362,20.69258,0.03087191,0.2947769
6,317.794216756685,0.477587801430834,22.41293,0.1254701,0.2987787
6,317.794612711039,0.478239528401055,22.4082,0.124292,0.2988854
6,317.793672526549,0.510828350216575,22.48635,0.1233378,0.3043452
6,317.793062274218,0.571629401881937,22.96207,0.1797027,0.313164
6,317.794316722908,0.561744383707066,25.37074,0.5218487,0.3123488
6,317.858399183104,0.487725465160353,23.4367,0.2706673,0.2972147
6,317.857719773886,0.623440056664162,17.10157,0.01244894,0.3132314
6,317.85774927396,0.624284087921194,22.45641,0.2301638,0.3131053
6,317.858836987271,0.57949922377813,22.87283,0.1678392,0.3151762
6,317.858897531551,0.576476983953171,22.96239,0.1793035,0.3147815
6,317.923640443633,0.594520560502316,18.07993,0.01398399,0.3100358
6,317.923260138493,0.619514782346593,24.80204,2.755891,0.3084306
6,317.92221979602,0.448204680299686,20.7871,0.04510321,0.2866716
6,317.923549833492,0.554656358949546,23.3097,0.2849665,0.3071797
6,317.858225785264,0.441360592600236,16.96968,0.01242528,0.2924054
6,317.922289019837,0.474865139130229,18.75236,0.01431774,0.2898843
6,317.923485551489,0.489365211158201,18.25853,0.01339009,0.2921841
6,317.922028739495,0.530201663446943,22.42955,0.1189018,0.3026114
6,317.923402153438,0.581126566371395,17.21152,0.01249752,0.3097435
6,317.923708969798,0.545666923821166,23.11454,0.3666605,0.3056376
6,317.92361151036,0.479233565798737,19.66776,0.01816361,0.2903153
6,317.859016057859,0.465089898795574,19.81584,0.01926521,0.2936597
6,317.857347084775,0.635914636568432,22.69491,0.1409726,0.3112447
6,317.923510368996,0.492230036866334,19.6102,0.01774276,0.2929474
6,317.858894538831,0.485788134246461,20.4941,0.02698874,0.2968213
6,317.858540630669,0.524063237070497,19.89341,0.01964347,0.3039548
6,317.85883861078,0.530890412005805,19.87579,0.01946629,0.3055424
6,317.768443579842,0.423808459287029,20.99797,0.03653062,0.2937999
6,317.767885553382,0.424761265151075,22.62683,0.1356049,0.2938555
6,317.835226338622,0.42414923208071,18.95894,0.01135779,0.2923475
6,317.834562650426,0.422251827639116,21.78075,0.06524046,0.2922459
6,318.034039280741,0.434743313637964,21.11459,0.03845866,0.2937689
6,318.033349506949,0.443569679306035,24.51151,0.4723823,0.2949018
6,317.96601918961,0.421869046525985,21.93952,0.07421149,0.2820557
6,318.166961311809,0.430524657926358,17.9006,0.01103746,0.3370752
6,318.168209438212,0.436520883792891,19.57297,0.01551892,0.3373865
6,318.101530369448,0.441722024117253,24.7841,0.4823528,0.3165566
6,318.168296099527,0.450429490472984,22.6138,0.1319983,0.3372045
6,318.233267366927,0.437247745501281,19.53738,0.01549761,0.358316
6,317.769673895814,0.362014986535687,22.33046,0.1170729,0.2941846
6,317.769151751568,0.362719540483227,23.19145,0.2408297,0.2942298
6,317.767842984833,0.267028290536886,17.4274,0.01736743,0.297138
6,317.76790279813,0.279909102263428,18.5583,0.01830544,0.2968637
6,317.768746981557,0.35259516605608,17.24518,0.01730443,0.2944613
6,317.769692070999,0.352600824189519,22.44573,0.141533,0.2943531
6,317.769551231483,0.326073232317322,19.29515,0.02011911,0.2951423
6,317.767805165741,0.365669052142382,20.83015,0.03697126,0.294332
6,317.768768943114,0.288950050307442,21.12819,0.04499252,0.2966987
6,317.769122271414,0.286419850290853,19.85724,0.02315155,0.2965907
6,317.768505900101,0.402433715610085,22.82044,0.1754808,0.2934258
6,317.835332006724,0.318443111699069,18.53745,0.01488197,0.2837315
6,317.895707228538,0.263673129194789,18.05743,0.01421618,0.2836097
6,317.834110914211,0.36691815596966,19.61995,0.01923612,0.2883163
6,317.894644408185,0.41757271498137,21.73967,0.07083055,0.2881369
6,317.834074088137,0.286949055909775,20.94201,0.03740259,0.2842394
6,317.894578003428,0.251731594599244,21.02538,0.03956211,0.2859286
