#Table1
type,ra,dec,psfMag_r,psfMagErr_r,extinction_r,clean
6,184.133612455737,32.1185887302401,22.38138,0.1458258,0.03108762,1
6,184.134574852895,32.0444017740114,20.13382,0.02509292,0.03289412,1
6,184.134477528177,32.0166220689585,21.83581,0.0801426,0.03370385,1
6,184.134936597735,32.1964889588629,19.84135,0.02318923,0.03248384,1
6,184.135219481197,32.1642405018806,22.57897,0.1855959,0.03159929,1
6,183.778746230008,31.9817235108045,20.85006,0.0401984,0.02966917,1
6,183.777549519898,31.9582983013245,22.92723,0.2003602,0.03030468,1
6,184.022456776139,32.0139114911722,18.12827,0.01157566,0.0369147,1
6,183.898431720293,31.9146844384435,19.38374,0.01538237,0.0304891,1
6,183.900237096089,31.9979339839727,19.47173,0.01640412,0.02987877,1
6,184.020692694404,31.8688731991112,21.97796,0.08955358,0.03052223,1
6,184.022509497495,31.9829786805732,22.67903,0.1620548,0.03548979,1
6,184.136709197778,31.9376367001986,18.98469,0.01771242,0.03513303,1
6,183.900256333601,31.8132395615917,18.56642,0.02439377,0.03260703,1
6,183.899788894586,31.8647633289311,21.94066,0.1026748,0.03070459,1
6,183.898066851552,31.8307524995563,22.24648,0.1331358,0.03188356,1
6,184.020039242952,31.7933261384346,21.04258,0.05193113,0.03534894,1
6,184.023082379956,31.8408804322882,22.94535,0.2447296,0.03187076,1
6,184.020075450701,31.8206427544144,22.72386,0.1983127,0.03320419,1
6,183.779350141436,32.15195024726,18.55862,0.01850578,0.02881545,1
6,183.899249920125,32.1509550045443,20.73995,0.03957982,0.03322651,1
6,183.777458377184,32.1551545754442,22.04953,0.1091706,0.02866298,1
6,183.898570205802,32.1299583890548,20.51274,0.03411152,0.03286259,1
6,183.900183811912,32.0830686606565,21.66558,0.07953501,0.03116721,1
6,183.90108744789,32.221406850171,20.94481,0.04584634,0.03227017,1
6,184.022785222818,32.1235060097041,22.60813,0.175771,0.03412649,1
6,184.136484527169,32.1977997568754,21.39448,0.08721203,0.03248499,1
6,184.137861734317,31.9089397700856,22.29354,0.1200456,0.03454203,1
6,184.137647560416,31.9758543051498,22.33228,0.1324898,0.03522228,1
6,184.138664783798,31.8800313425003,21.63463,0.06954209,0.03430127,1
6,184.137338181023,32.0827219109534,19.57718,0.02090938,0.03153355,1
6,184.138985331969,32.2417239818301,20.03156,0.02484148,0.03388194,1
6,183.813105196529,31.8653458356281,19.43958,0.01695866,0.03376372,1
6,183.815040760268,31.934148252426,22.22498,0.1100395,0.03108104,1
6,183.815249991456,32.0570707840061,22.43412,0.1308559,0.02946322,1
6,183.930072248593,32.0729554189657,17.32751,0.01076617,0.03205594,1
6,183.929307297006,31.9614694591449,21.30828,0.05114838,0.0304098,1
6,184.16642557607,31.915043478212,22.83897,0.1913704,0.03543053,1
6,184.16593859996,32.0777531148047,20.95462,0.04052519,0.03072631,1
6,184.051398820712,31.9497937578987,22.67514,0.1626902,0.03456929,1
6,184.165466601114,32.0005233238646,22.38324,0.1297711,0.03382524,1
6,184.050580872419,31.8681937427168,22.73289,0.1721578,0.03123269,1
6,183.814577214398,31.856258325581,22.00944,0.1110281,0.03400261,1
6,183.814277187598,31.8571137498555,22.08492,0.120303,0.03398503,1
6,183.926777188104,31.8025636577858,20.68905,0.04212943,0.03326336,1
6,184.166833993945,31.8596905332078,20.09914,0.02867377,0.0355955,1
6,183.814596010823,32.1737212438222,19.40863,0.02129314,0.02927423,1
6,183.927842974727,32.2368363904419,17.76175,0.0148681,0.03275028,1
6,184.048795001772,32.0807169946899,20.78578,0.3175483,0.03549653,1
6,183.928721900663,32.2424051076932,20.19958,0.02722033,0.03281365,1
6,184.048648630365,32.1232975089874,22.78639,0.2047502,0.03374191,1
6,184.04946326262,32.1856092395556,22.45563,0.1566381,0.03320418,1
6,183.83290814006,31.9359881462428,22.01835,0.09228912,0.03097012,1
6,183.834292889478,31.9222503986568,20.74962,0.03723871,0.03143278,1
6,183.831633186466,31.8699404797195,22.42863,0.1300573,0.03299209,1
6,183.944510807175,31.8757717444345,20.259,0.02399798,0.02955766,1
6,183.944401063387,31.997318788833,22.28575,0.1159917,0.03186653,1
6,184.064927818405,31.9782442095015,19.60835,0.02054865,0.0364554,1
6,184.064868817933,32.010313838423,21.81382,0.0781681,0.0368441,1
6,184.174754257563,32.0631778977903,20.60413,0.03485031,0.03094064,1
6,184.176450060367,32.0495264062334,21.13691,0.04640392,0.03152564,1
6,184.065141927011,31.8799143134804,22.87093,0.1938481,0.03178896,1
6,184.175982546473,31.9711033614322,22.5954,0.1541924,0.03501702,1
6,184.066007182755,31.7758083108141,22.71416,0.1975561,0.03696758,1
6,184.177473205179,31.8151551085499,22.23832,0.1314157,0.0372192,1
6,183.832536696338,32.1271621835219,20.97322,0.0462467,0.03098245,1
6,183.833100549318,32.1307639163665,21.88478,0.09560759,0.03101008,1
6,183.833482057705,32.2238894240401,21.70101,0.08295389,0.02892815,1
6,183.943013162781,32.2069133830076,22.24381,0.1309933,0.0338909,1
6,184.17458943345,32.1348223164493,17.40622,0.01494725,0.03023146,1
6,184.17601548649,32.1224374805547,18.90689,0.01707081,0.0301388,1
6,184.175710976066,32.1253338235095,21.52323,0.07032974,0.03015829,1
6,184.17533494347,32.1280318518308,22.71628,0.1954058,0.03017766,1
6,184.176810857911,32.2021559937714,22.20694,0.1264415,0.03175779,1
6,183.806361818212,32.0579148920753,22.74322,0.1984148,0.02952509,1
6,183.808540332209,32.0534467123185,23.3601,0.3052393,0.02942552,1
6,183.807828966637,31.9162179220559,21.36281,0.05386829,0.03201895,1
6,183.920786209147,32.0598513530978,18.21552,0.01173304,0.03113513,1
6,183.920867612798,31.8743878997846,20.24108,0.02460401,0.02994395,1
6,183.922870952686,32.0138258994671,22.68914,0.1640594,0.03063984,1
6,184.042549562192,32.0056864280836,21.99525,0.09077728,0.03703859,1
6,184.044218538731,32.0101749053202,22.53827,0.1435715,0.03705652,1
6,183.807519881393,31.8428366903111,15.93834,0.02321295,0.03466624,1
6,183.805942557015,31.7671560349264,21.64014,0.08149053,0.03683103,1
6,183.807630434605,31.8602198592303,22.56737,0.1749152,0.03410417,1
6,183.921276354252,31.85264714165,18.09873,0.02492252,0.03054139,1
6,184.043129476082,31.8354546066031,20.27899,0.03535861,0.03274701,1
6,183.921456516684,31.762500344458,22.06348,0.1074364,0.03618689,1
6,184.041317342729,31.8228002818037,20.59099,0.03993735,0.03346403,1
6,184.043522515169,31.8571842701975,22.38401,0.1487009,0.03143315,1
6,184.15390330113,31.8558173265228,21.62344,0.07756712,0.03531103,1
6,183.80608679298,32.236664429783,21.71281,0.08386452,0.02760295,1
6,183.919665917728,32.2407199878062,18.55989,0.01593477,0.03240578,1
6,183.921909876178,32.1918447284383,19.36946,0.01885385,0.03363096,1
6,184.043064129933,32.205462272618,21.54612,0.0764066,0.03393601,1
6,183.921495038345,32.10209027835,22.61131,0.1767447,0.03253814,1
6,184.044457041321,32.1160496710141,22.78226,0.2035387,0.03416549,1
6,184.043511759536,32.2433496008177,22.51228,0.1660642,0.03580717,1
6,184.153396165,32.09825900046,18.47562,0.02397994,0.03073659,1
6,184.154015356516,32.2090128805634,18.47194,0.01603162,0.03232866,1
6,184.153632985355,32.1962091702953,22.47611,0.1593011,0.03199852,1
6,184.155023294312,32.0746149726955,18.69169,0.01703776,0.03118125,1
6,184.154748945829,31.9997562989062,22.68466,0.1650942,0.03400238,1
6,184.15480881157,31.8371925325469,22.25614,0.1383894,0.03622291,1
6,184.155000137851,31.849273364713,21.95994,0.1090813,0.0356672,1
6,184.156501969073,31.8405806965347,22.5666,0.17293,0.03609954,1
6,184.155917640252,32.2072983922126,22.6857,0.2005298,0.03221603,1
6,184.156222957489,32.0918210692841,22.28973,0.1345349,0.03075918,1
6,184.15483957058,32.1327209807803,22.77128,0.2047095,0.03039914,1
6,183.836398559011,31.8714818423629,22.87648,0.1902259,0.03277684,1
6,183.837833724784,31.9890752387687,22.44051,0.1322541,0.02925567,1
6,183.951603960651,31.9374298567181,16.41661,0.01036633,0.03060507,1
6,183.948600324409,31.8702657097951,21.36621,0.05308764,0.02965846,1
6,183.951621781904,31.8951616353576,21.89018,0.08660344,0.02967035,1
6,184.195639024346,32.0516047244118,20.94949,0.04071102,0.03158915,1
6,184.070249839711,32.0318122483749,22.50702,0.1396882,0.03680738,1
6,184.070237998611,32.0564707720296,21.91449,0.08429885,0.03594953,1
6,183.834839739903,31.8566996032025,17.97407,0.02373469,0.03323683,1
6,183.837239569718,31.8136359823262,22.76645,0.209835,0.03433479,1
6,183.951600059663,31.8127380470551,21.76951,0.09618027,0.03250501,1
6,183.949543857632,31.8474037325161,22.74969,0.2037183,0.03062979,1
6,183.951417518314,31.7586331781472,22.62627,0.1817783,0.03686072,1
6,183.835971906534,32.0806391546909,21.46143,0.06689703,0.03027583,1
6,183.950512183386,32.1865761698975,20.68196,0.03680409,0.03401555,1
6,183.950552349554,32.1212234377375,22.02976,0.1069791,0.03375496,1
6,184.07272338918,32.2087303215252,21.5003,0.0695191,0.03391843,1
6,184.072702682255,32.203564719196,22.1911,0.1250593,0.03373378,1
6,184.195531918879,32.0837592479725,19.33476,0.01881833,0.03055163,1
6,183.828520427059,32.0267717588694,21.31131,0.05160747,0.02874116,1
6,183.827666432504,31.9396168497176,22.75224,0.172447,0.0308599,1
6,183.82732370258,32.0217803713282,22.34369,0.1216741,0.02866043,1
6,183.82919878411,32.0123509877001,22.84438,0.1863059,0.02862234,1
6,183.945927365483,31.8989336125571,18.56802,0.01240798,0.02974452,1
6,183.947096916233,32.0495787800287,20.38005,0.02620366,0.0328224,1
6,183.945786101096,32.0046599456466,21.31816,0.05179172,0.03207484,1
6,183.945973091134,32.006679472889,21.35253,0.05323497,0.03213941,1
6,184.068585756672,31.8932742667977,19.98001,0.02362459,0.03188399,1
6,184.187524010884,31.9036159695755,20.93589,0.06035404,0.03591212,1
6,184.185178283615,31.9667096259814,21.82276,0.08058003,0.03512898,1
6,184.1849612681,32.029891410738,22.46106,0.1368259,0.03210902,1
6,183.830526861192,31.7643107956585,21.04066,0.05203133,0.03639102,1
6,183.946748967541,31.7568491462993,17.53908,0.02461324,0.03690718,1
6,183.944638996401,31.7870957334645,22.15682,0.1222224,0.03447701,1
6,183.9458796195,31.7528129693733,20.34038,0.03544984,0.03717538,1
6,184.067670103389,31.8342460917431,22.44919,0.1575493,0.03360007,1
6,184.069512228959,31.8143885614423,22.11088,0.118588,0.03484419,1
6,184.185114853113,31.772027802231,21.33112,0.06229998,0.03762762,1
6,184.187676675449,31.8189537769405,21.0656,0.04821684,0.03719189,1
6,184.187320739964,31.8581603836346,22.33184,0.1407382,0.0363941,1
6,183.828636881019,32.1105353533402,19.72155,0.02332304,0.03076809,1
6,183.829241872942,32.2169198503511,17.32946,0.0174127,0.02881209,1
6,183.828438114698,32.1396923549596,21.66289,0.07944035,0.03081604,1
6,183.828463079972,32.1510301514407,22.16748,0.1516503,0.03065711,1
6,183.830096717945,32.1436003313106,21.95226,0.1013599,0.03087239,1
6,183.946914368719,32.1965245865147,14.5969,0.01416241,0.03396972,1
6,183.945565404178,32.1940401234617,21.7724,0.09546069,0.03398488,1
6,184.068309531055,32.1690715512587,15.32577,0.01419596,0.03276147,1
6,183.947810874507,32.2343840549891,18.56503,0.01594378,0.03361479,1
6,184.069487942463,32.1926745382685,18.55764,0.01579589,0.03339365,1
6,183.944860834936,32.1121275409826,21.72932,0.08261836,0.03345236,1
6,183.947243418888,32.2372749725126,20.46261,0.03194444,0.03360013,1
6,183.946995705657,32.1565677975739,21.83965,0.09150489,0.03397338,1
6,184.185085851033,32.089706139706,22.28953,0.1374457,0.0303271,1
6,183.803874288559,31.9231792680134,16.13547,0.01167715,0.03163794,1
6,183.802979229458,32.0164570437227,22.82469,0.1829958,0.02884888,1
6,183.803955639766,31.9775253008324,22.85263,0.1876465,0.02959371,1
6,183.917590642864,31.980610947344,22.61549,0.1680803,0.03037744,1
6,183.916559821984,32.0270733303851,21.13891,0.04510897,0.0305385,1
6,184.037277739262,31.9035896437531,23.16188,0.2624868,0.03122344,1
6,184.03623117313,31.9029879904527,23.03497,0.248047,0.03118049,1
6,184.03488929072,32.014423680559,18.64555,0.01694158,0.03711306,1
6,184.034970151669,32.0578938861047,19.27453,0.01876295,0.03682093,1
